citoyen_id,nom,prenom,date_naissance,email,telephone,adresse,code_postal,ville,arrondissement
1,Martin,Clara,1964-09-03,clara.martin@ville-marseille.fr,0601338908,58 Boulevard Baille,13004,Marseille,3e
2,Royer,Marc,1998-04-21,marc.royer@gmail.com,0665423511,108 Rue Paradis,13015,Marseille,9e
3,Durand,Rachid,1972-03-16,rachid.durand@gmail.com,0718495931,155 Rue de Lodi,13002,Marseille,15e
4,Petit,Thomas,1960-06-11,thomas.petit@yahoo.fr,0752553419,21 Rue Paradis,13004,Marseille,13e
5,Ahmed,Lea,2005-05-31,lea.ahmed@outlook.com,0703056413,42 Rue d'Aubagne,13013,Marseille,9e
6,Moreau,Antoine,1998-10-20,antoine.moreau@outlook.com,0688496965,102 Rue d'Aubagne,13005,Marseille,9e
7,Dubois,Julie,1985-09-17,julie.dubois@outlook.com,0791669784,24 Rue de la République,13004,Marseille,5e
8,Petit,Sophie,2004-08-28,sophie.petit@gmail.com,0762704828,175 Rue de Rome,13009,Marseille,11e
9,Fournier,Clara,1996-02-05,clara.fournier@yahoo.fr,0688095701,216 Rue de Rome,13007,Marseille,5e
10,Fournier,Camille,1967-08-03,camille.fournier@ville-marseille.fr,0682278248,15 Rue Paradis,13003,Marseille,3e
11,Moreau,Marine,1988-05-19,marine.moreau@ville-marseille.fr,0713315098,183 Rue de Lodi,13013,Marseille,12e
12,Gonzalez,Julie,1959-10-04,julie.gonzalez@gmail.com,0718347382,19 Rue de la République,13008,Marseille,3e
13,Moreau,Emma,1982-06-07,emma.moreau@yahoo.fr,0767010651,49 Avenue du Prado,13004,Marseille,14e
14,Moreau,Julie,1957-01-23,julie.moreau@yahoo.fr,0731781080,115 Boulevard Baille,13014,Marseille,6e
15,Lambert,Nicolas,1961-03-16,nicolas.lambert@ville-marseille.fr,0626064746,105 Rue d'Aubagne,13016,Marseille,7e
16,Dubois,Emma,1957-01-13,emma.dubois@gmail.com,0697882081,56 Rue de la République,13002,Marseille,11e
17,Durand,Lea,1993-05-20,lea.durand@outlook.com,0691699854,173 Rue Paradis,13013,Marseille,4e
18,Petit,Marc,2004-04-02,marc.petit@yahoo.fr,0751079911,62 Rue de Lodi,13013,Marseille,5e
19,Ahmed,Marc,1963-10-17,marc.ahmed@yahoo.fr,0727849808,239 Boulevard National,13003,Marseille,8e
20,Petit,Sarah,1949-04-17,sarah.petit@yahoo.fr,0793534874,68 Avenue du Prado,13004,Marseille,5e
21,Durand,Thomas,1996-11-26,thomas.durand@yahoo.fr,0642786801,213 Rue de Lodi,13002,Marseille,1e
22,Royer,Nicolas,1953-05-16,nicolas.royer@outlook.com,0645053315,10 Boulevard National,13005,Marseille,14e
23,Gonzalez,Marine,1953-11-12,marine.gonzalez@gmail.com,0656342160,222 Boulevard Baille,13006,Marseille,14e
24,Moreau,Emma,1957-11-26,emma.moreau@gmail.com,0665414586,90 Rue de Lodi,13008,Marseille,8e
25,Martin,Antoine,1950-05-07,antoine.martin@ville-marseille.fr,0756981693,46 Rue de Lodi,13002,Marseille,4e
26,Martin,Karim,2003-08-03,karim.martin@ville-marseille.fr,0659514846,1 Rue de Rome,13007,Marseille,12e
27,Rossi,Antoine,2002-07-20,antoine.rossi@ville-marseille.fr,0699468044,142 Boulevard Baille,13007,Marseille,14e
28,Rossi,Marc,1992-01-12,marc.rossi@ville-marseille.fr,0687214895,168 Boulevard National,13015,Marseille,15e
29,Fournier,Nicolas,1961-01-26,nicolas.fournier@gmail.com,0679176936,58 Rue Paradis,13005,Marseille,1e
30,Rossi,Emma,1961-11-20,emma.rossi@outlook.com,0687083172,168 Rue de la République,13004,Marseille,14e
31,Petit,Hugo,1987-08-26,hugo.petit@ville-marseille.fr,0677434873,153 Boulevard National,13015,Marseille,14e
32,Benali,Karim,1946-12-13,karim.benali@gmail.com,0623623166,61 Rue de Lodi,13011,Marseille,11e
33,Ahmed,Antoine,1981-10-19,antoine.ahmed@gmail.com,0770546688,16 Rue Paradis,13014,Marseille,13e
34,Benali,Julie,1959-09-08,julie.benali@yahoo.fr,0727298069,112 Rue d'Aubagne,13001,Marseille,13e
35,Durand,Sophie,1997-08-30,sophie.durand@yahoo.fr,0753755646,35 Rue d'Aubagne,13006,Marseille,2e
36,Fournier,Karim,1947-05-07,karim.fournier@outlook.com,0600330923,5 Rue de Rome,13002,Marseille,12e
37,Benali,Youssef,2000-01-22,youssef.benali@yahoo.fr,0699124190,145 Rue Paradis,13015,Marseille,9e
38,Gonzalez,Sarah,2000-10-07,sarah.gonzalez@gmail.com,0791905865,102 Rue Paradis,13003,Marseille,8e
39,Ahmed,Nicolas,1998-02-03,nicolas.ahmed@ville-marseille.fr,0772628498,4 Rue Saint-Ferréol,13016,Marseille,4e
40,Benali,Emma,1979-01-28,emma.benali@yahoo.fr,0737996507,69 Boulevard National,13008,Marseille,3e
41,Dubois,Antoine,1983-09-28,antoine.dubois@yahoo.fr,0683136783,91 Rue de Lodi,13011,Marseille,9e
42,Petit,Emma,2003-11-11,emma.petit@outlook.com,0734957885,115 Rue de la République,13003,Marseille,10e
43,Royer,Marine,1989-05-18,marine.royer@yahoo.fr,0613518233,91 Rue d'Aubagne,13009,Marseille,10e
44,Lefevre,Emma,2005-01-02,emma.lefevre@outlook.com,0735240824,195 Rue de Rome,13010,Marseille,4e
45,Martin,Thomas,1989-08-23,thomas.martin@gmail.com,0777752047,179 Boulevard Baille,13016,Marseille,4e
46,Fournier,Clara,1945-11-11,clara.fournier@outlook.com,0713186999,126 Avenue du Prado,13002,Marseille,5e
47,Lambert,Julie,1986-11-18,julie.lambert@yahoo.fr,0691334123,116 Rue d'Aubagne,13010,Marseille,14e
48,Ahmed,Lea,1946-09-25,lea.ahmed@yahoo.fr,0634471349,1 Rue Saint-Ferréol,13015,Marseille,16e
49,Rossi,Marc,1950-04-18,marc.rossi@gmail.com,0624994717,58 Boulevard Baille,13009,Marseille,5e
50,Royer,Sarah,1976-02-10,sarah.royer@gmail.com,0665940139,129 Rue de Rome,13016,Marseille,15e
51,Lambert,Sophie,2000-04-24,sophie.lambert@ville-marseille.fr,0729671756,148 Rue de la République,13006,Marseille,16e
52,Garcia,Antoine,2000-02-13,antoine.garcia@ville-marseille.fr,0768071545,220 Boulevard Baille,13011,Marseille,14e
53,Lambert,Clara,1976-04-05,clara.lambert@gmail.com,0685977034,212 Rue de la République,13015,Marseille,14e
54,Lefevre,Youssef,1979-04-22,youssef.lefevre@yahoo.fr,0686131712,32 Rue de la République,13008,Marseille,6e
55,Royer,Emma,1966-03-08,emma.royer@ville-marseille.fr,0678263982,181 Rue de Lodi,13014,Marseille,16e
56,Lefevre,Nicolas,1977-03-23,nicolas.lefevre@yahoo.fr,0799727875,240 Rue de Rome,13009,Marseille,1e
